ship,fandom,genre,relType,isCanon,isRPF,totalWorks
Jeon Jungkook/Original Female Character(s),Bangtan Boys | BTS,K-Pop,M/M,No,Yes,2024
Jeon Jungkook/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,28174
Jeon Jungkook/Reader,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,5624
Jeon Jungkook/You,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,5777
Jeon Wonwoo/Kim Mingyu,SEVENTEEN (Band),K-Pop,M/M,No,Yes,6235
Jeon Wonwoo/Kwon Soonyoung | Hoshi,SEVENTEEN (Band),K-Pop,M/M,No,Yes,1801
Jeon Wonwoo/Wen Jun Hui | Jun,SEVENTEEN (Band),K-Pop,M/M,No,Yes,2564
Jeong Yunho/Song Mingi,ATEEZ (Band),K-Pop,M/M,No,No,3321
Jeong YuNo| Jaehyun/Kim Dongyoung | Doyoung,NCT (Band),K-Pop,M/M,No,Yes,2825
Jeong YuNo| Jaehyun/Lee Taeyong,NCT (Band),K-Pop,M/M,No,Yes,3425
Jeong YuNo| Jaehyun/Suh Youngho | Johnny,NCT (Band),K-Pop,M/M,No,Yes,1624
Jeremy Heere & Michael Mell,Be More Chill - Iconis/Tracz,Slice of Life,Gen,Yes,No,1196
Jeremy Heere/Michael Mell,Be More Chill - Iconis/Tracz,Slice of Life,M/M,Semi-Canon,No,4203
Jeremy Knox/Jean Moreau,The Foxhole Court,Sports,M/M,Yes,No,1132
Jesper Fahey/Wylan Van Eck,Grishaverse,Fantasy,M/M,Yes,No,4557
Jesse McCree/Genji Shimada,Overwatch,Video Game,M/M,No,No,1272
Jesse McCree/Hanzo Shimada,Overwatch,Video Game,M/M,No,No,6596
Jesse McCree/Reaper | Gabriel Reyes,Overwatch,Video Game,M/M,No,No,1222
Jessica Moore/Sam Winchester,Supernatural,Fantasy,F/M,Yes,No,5787
Jester Lavorre/Caleb Widogast,Critical Role,Video Game,F/M,Semi-Canon,No,1139
Jetfire | Skyfire/Starscream,Transformers,Science Fiction,M/M,No,No,1030
Jiāng Chéng | Jiāng Wǎnyín & Jiāng Yànlí & Wèi Yīng | Wèi Wúxiàn,The Untamed,Thriller,Gen,Yes,No,1255
Jiāng Chéng | Jiāng Wǎnyín & Jīn Líng | Jīn Rúlán,The Untamed,Thriller,Gen,Yes,No,1166
Jiāng Chéng | Jiāng Wǎnyín & Wèi Yīng | Wèi Wúxiàn,The Untamed,Thriller,Gen,Yes,No,3635
Jiāng Chéng | Jiāng Wǎnyín/Lán Huàn | Lán Xīchén,The Untamed,Thriller,M/M,No,No,6130
Jiang Cheng | Jiang Wanyin/Lan Zhan | Lan Wangji,The Untamed,Thriller,M/M,No,No,1023
Jiāng Chéng | Jiāng Wǎnyín/Niè Huáisāng,The Untamed,Thriller,M/M,No,No,2776
Jiāng Chéng | Jiāng Wǎnyín/Wèi Yīng | Wèi Wúxiàn,The Untamed,Thriller,M/M,No,No,2355
Jiāng Yànlí/Jīn Zǐxuān,The Untamed,Thriller,M/M,No,No,2976
Jim Ellison/Blair Sandburg,The Sentinel (TV),Crime,M/M,No,No,7636
Jimmy | Solidarity/Scott Major | Smajor1995,Empires SMP,Youtube RPF,M/M,Yes,Yes,2660
Jimmy | Solidarity/TangoTek,Empires SMP,Youtube RPF,M/M,No,Yes,1546
Jīn Líng | Jīn Rúlán/Lán Yuàn | Lán Sīzhuī,The Untamed,Thriller,M/M,Yes,No,1305
Jinx & Vi,Arcane: League of Legends (Cartoon 2021),Fantasy,Gen,Yes,No,1109
Jirou Kyouka/Kaminari Denki,Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,3986
Jirou Kyouka/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1284
Jirou Kyouka/Yaoyorozu Momo,Boku NoHero Academia | My Hero Academia,Superhero,F/F,No,No,6395
Joe | Yusuf Al-Kaysani/Nicky | Nicolò di Genova,The Old Guard,Superhero,M/M,Yes,No,7742
Joel | SmallishBeans/Lizzie | LDShadowLady,Empires SMP,Youtube RPF,F/M,Yes,Yes,1351
Joel/Reader,The Last of Us,Science Fiction,XReader,No,XReader,2527
Joel/Tess,The Last of Us,Science Fiction,F/M,No,No,1073
Joel/You,The Last of Us,Science Fiction,XReader,No,XReader,2574
"John ""Soap"" MacTavish/Reader",Call of Duty,Video Game,XReader,No,XReader,1254
"John ""Soap"" MacTavish/Simon ""Ghost"" Riley",Call of Duty,Video Game,M/M,No,No,10839
"John ""Soap"" MacTavish/You",Call of Duty,Video Game,XReader,No,XReader,1258
John Egbert/Dave Strider,Homestuck,Science Fiction,M/M,No,No,5264
John Egbert/Karkat Vantas,Homestuck,Science Fiction,M/M,No,No,1945
John Hancock/Female Sole Survivor,Fallout 4,Video Game,F/M,Semi-Canon,No,1134
John Hancock/Sole Survivor,Fallout 10,Video Game,Other,Semi-Canon,No,1527
John Lennon/Paul McCartney,Beatles RPF,Western Artist,M/M,No,Yes,3439
John Marston/Arthur Morgan,Red Dead Redemption,Video Game,M/M,No,No,1126
John Price/Reader,Call of Duty,Video Game,XReader,No,XReader,1448
John Price/You,Call of Duty,Video Game,XReader,No,XReader,1467
John Sheppard/Elizabeth Weir,Stargate Atlantis,Science Fiction,F/M,No,No,1377
John Winchester/Mary Winchester,Supernatural,Fantasy,F/M,Yes,No,1948
Johnny Joestar/Gyro Zeppeli,JoJo's Bizarre Adventure,Fantasy,M/M,No,No,1894
Johnny Silverhand/V,Cyberpunk 2077 (Video Game),Video Game,Other,No,No,1549
Joker/Bruce Wayne,Batman,Superhero,M/M,No,No,3263
Joker/Harleen Quinzel,Batman,Superhero,F/M,Yes,No,1952
Joly/Bossuet Laigle/Musichetta,Les Misérables - All Media Types,Historical,Multi,Yes,No,1615
Jon Snow/Daenerys Targaryen,Game of Thrones,Fantasy,F/M,Yes,No,5448
Jon Snow/Sansa Stark,Game of Thrones,Fantasy,F/M,No,No,7983
Jon Snow/Ygritte,Game of Thrones,Fantasy,F/M,Yes,No,1205
Jonathan Byers/Nancy Wheeler,Stranger Things,Thriller,F/M,Yes,No,4545
Jonathan Byers/Steve Harrington,Stranger Things,Thriller,F/M,No,No,1202
Jonathan Byers/Steve Harrington/Nancy Wheeler,Stranger Things,Thriller,Multi,No,No,1111
Jonathan Crane/Edward Nygma,Batman,Superhero,M/M,No,No,1074
Jonathan Kent/Damian Wayne,Batman,Superhero,M/M,No,No,3133
Jonathan Samuel Kent/Damian Wayne,DC Comics,Superhero,M/M,No,No,1055
Joseph Joestar/Caesar Anthonio Zeppeli,JoJo's Bizarre Adventure,Fantasy,M/M,No,No,2815
Josh Dun/Tyler Joseph,Twenty One Pilots,Western Artist,M/M,No,Yes,7084
Josh Lyman/Donna Moss,West Wing,Slice of Life,F/M,Yes,No,3841
Jouno Saigiku/Suehiro Tecchou,Bungou Stray Dogs,Fantasy,M/M,No,No,1209
Jounouchi Katsuya | Joey Wheeler/Kaiba Seto,Yu-Gi-Oh! - All Media Types,Video Game,M/M,No,No,2205
"Joyce Byers/Jim ""Chief"" Hopper",Stranger Things,Thriller,F/M,Yes,No,4490
Jschlatt & Toby Smith | Tubbo,YouTube RPF,Youtube RPF,Gen,Yes,Yes,1626
Jschlatt & Wilbur Soot,YouTube RPF,Youtube RPF,Gen,Yes,Yes,1010
Jschlatt/Wilbur Soot,YouTube RPF,Youtube RPF,M/M,No,Yes,1118
Jude Duarte/Cardan Greenbriar,The Folk of the Air - Holly Black,Fantasy,F/M,Yes,No,1418
Judy Hopps & Nick Wilde,Zootopia,Crime,Gen,Yes,No,1128
Judy Hopps/Nick Wilde,Zootopia,Crime,F/M,Yes,No,2310
Juleka Couffaine/Rose Lavillant,Miraculous Ladybug,Superhero,F/F,Yes,No,2095
Julian Bashir/Elim Garak,Star Trek,Science Fiction,M/M,Semi-Canon,No,5567
Julie Molina/Luke Patterson,Julie and the Phantoms,Slice of Life,F/M,Semi-Canon,No,2749
Jung Hoseok | J-Hope/Everyone,Bangtan Boys | BTS,K-Pop,Other,No,Yes,1137
Jung Hoseok | J-Hope/Kim Namjoon | RM,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,4157
Jung Hoseok | J-Hope/Kim Seokjin | Jin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,3632
Jung Hoseok | J-Hope/Kim Taehyung | V,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,5005
Jung Hoseok | J-Hope/Min Yoongi | Suga,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,17018
Jung Hoseok | J-Hope/Original Character(s),Bangtan Boys | BTS,K-Pop,Original,No,Yes,1589
Jung Hoseok | J-Hope/Original Female Character(s),Bangtan Boys | BTS,K-Pop,F/M,No,Yes,1187
Jung Hoseok | J-Hope/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,5209
Jung Hoseok | J-Hope/Reader,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,3138
Jung Hoseok | J-Hope/You,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,3215
Jung Wooyoung/Kang Yeosang,ATEEZ (Band),K-Pop,M/M,No,No,1337
Jung Yoonoh/Shim Changmin,DBSK | Tohoshinki | TVfXQ | TVXQ,K-Pop,M/M,No,Yes,1961
Junkrat | Jamison Fawkes/Roadhog | Mako Rutledge,Overwatch,Video Game,M/M,No,No,1502
Kaedehara Kazuha/Kaedehara Kazuha's Friend,Genshin Impact,Video Game,M/M,No,No,1244
Kaedehara Kazuha/Scaramouche,Genshin Impact,Video Game,M/M,No,No,3725
Kaedehara Kazuha/Shikanoin Heizou,Genshin Impact,Video Game,M/M,No,No,1243
Kaeya/Reader,Genshin Impact,Video Game,XReader,No,XReader,1571
Kaeya/Tartaglia | Childe,Genshin Impact,Video Game,M/M,No,No,1761
Kagami Taiga/Kuroko Tetsuya,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,2479
"Kageyama ""Mob"" Shigeo & Reigen Arataka",Mob Psycho 100,Fantasy,Gen,Yes,No,1411
"Kageyama ""Mob"" Shigeo/Reigen Arataka",Mob Psycho 100,Fantasy,M/M,No,No,2020
Kageyama Tobio/Oikawa Tooru,Haikyuu!!,Sports,M/M,No,No,3196
Kageyama Tobio/Tsukishima Kei,Haikyuu!!,Sports,M/M,No,No,2046
Kaiba Seto/Yami Yuugi | Atem,Yu-Gi-Oh! - All Media Types,Video Game,M/M,No,No,1328
Kaidan Alenko/Female Shepard,Mass Effect Trilogy,Video Game,F/M,No,No,3096
Kaidan Alenko/Male Shepard,Mass Effect Trilogy,Video Game,M/M,No,No,2428
Kaidan Alenko/Shepard,Mass Effect Trilogy,Video Game,F/M,Yes,No,5541
Kaiou Michiru/Tenoh Haruka,Sailor Moon,Fantasy,F/F,Yes,No,1130
Kairi/Sora,Kingdom Hearts,Video Game,F/M,Semi-Canon,No,1357
Kakyoin Noriaki/Kujo Jotaro,Jojo's Bizarre Adventure,Fantasy,M/M,No,No,6178
Kambe Daisuke/Katou Haru,Fugou Keiji: Balance:Unlimited (Anime),Crime,M/M,No,No,1981
Kaminari Denki & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1103
Kaminari Denki/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,2175
Kaminari Denki/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1171
Kaminari Denki/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,1344
Kaminari Denki/Sero Hanta,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1886
Kaminari Denki/Shinsou Hitoshi,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,8906
Kamisato Ayato/Thoma,Genshin Impact,Video Game,M/M,No,No,2867
Kamishiro Rui/Tenma Tsukasa,Project SEKAI,Video Game,M/M,No,No,5249
Kamukura Izuru/Komaeda Nagito,Danganronpa,Video Game,M/M,Semi-Canon,No,1183
Kanan Jarrus/Hera Syndulla,Star Wars Rebels,Science Fiction,F/M,Yes,No,2627
Kanda Yuu/Allen Walker,D.Gray-man,Fantasy,M/M,No,No,1184
Kaneki Ken | Sasaki Haise/Nagachika Hideyoshi,Tokyo Ghoul,Fantasy,M/M,No,No,1905
Kaneki Ken/Nagachika Hideyoshi,Tokyo Ghoul,Fantasy,M/M,No,No,1501
Kang Daniel/Ong Seongwu,Wanna One (Band),K-Pop,M/M,No,Yes,1468
Kang Younghyun | Young K/Park Jaehyung | Jae,Day6 (Band),K-Pop,M/M,No,Yes,1054
Kara Danvers & Lena Luthor,Supergirl (TV 2015),Superhero,Gen,Yes,No,2805
Kara Danvers/Cat Grant,Supergirl (TV 2015),Superhero,F/F,No,No,3217
Kara Danvers/Lena Luthor,Supergirl (TV 2015),Superhero,F/F,No,No,20315
Kara Danvers/Mon-El,Supergirl (TV 2015),Superhero,F/M,Yes,No,1387
Karl Jacobs & Sapnap,Dream SMP,Youtube RPF,Gen,Yes,Yes,1017
Karl Jacobs/Sapnap,Dream SMP,Youtube RPF,M/M,No,Yes,5463
Karl-Friedrich Boerne/Frank Thiel,Tatort Münster,Crime,M/M,No,No,1256
Kasamatsu Yukio/Kise Ryouta,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,1029
Kasumi | Misty/Satoshi | Ash Ketchum,Pokémon,Video Game,F/M,No,No,1083
Katara & Sokka,Avatar: The Last Airbender,Science Fiction,Gen,Yes,No,1055
Katara & Zuko,Avatar: The Last Airbender,Science Fiction,Gen,Yes,No,1458
Katara/Zuko,Avatar: The Last Airbender,Science Fiction,F/M,No,No,6530
Kate Beckett/Richard Castle,Castle,Crime,F/M,Yes,No,2632
Katelyn Mackenzie/Aaron Minyard,All For The Game - Nora Sakavic,Sports,F/M,Yes,No,1198
Kathryn Janeway/Seven of Nine,Star Trek,Science Fiction,F/F,No,No,1609
Katniss Everdeen/Peeta Mellark,Hunger Games Trilogy - Suzanne Collins,Science Fiction,F/M,Yes,No,7220
Katsuki Yuuri & Victor Nikiforov,Yuri!!! on Ice,Sports,Gen,Yes,No,5335
Katsuki Yuuri & Yuri Plisetsky,Yuri!!! on Ice,Sports,Gen,Yes,No,1301
Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice,Sports,M/M,Yes,No,25975
Kaz Brekker/Inej Ghafa,Grishaverse,Fantasy,F/M,Semi-Canon,No,5044
Keith & Lance,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,5468
Keith & Pidge | Katie Holt,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,1570
Keith & Shiro,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,4478
Keith/Lance,Voltron: Legendary Defender,Fantasy,M/M,No,No,32753
Keith/Lance/Shiro,Voltron: Legendary Defender,Fantasy,Multi,No,No,1415
Keith/Shiro,Voltron: Legendary Defender,Fantasy,M/M,No,No,15435
Kel/Sunny,OMORI,Video Game,M/M,No,No,1043
Ken Hutchinson/David Starsky,Starsky & Hutch,Crime,M/M,No,No,2610
"Kenny McCormick/Leopold ""Butters"" Stotch",South Park,Slice of Life,M/M,No,No,3039
"Kent ""Parse"" Parson/Jack Zimmermann",Check Please!,Sports,M/M,No,No,1039
Keyleth/Vax'ildan,Critical Role,Video Game,F/M,Yes,No,1012
"Kiara ""Kie"" Carrera/JJ Maybank",Outer Banks,Slice of Life,F/M,Yes,No,1373
Kid Flash/Robin,Batman,Superhero,M/M,No,No,4013
Kikuchi Tadashi/Shindo Ainosuke | Adam,SK8 the Infinity,Sports,M/M,No,No,1723
Kíli/Tauriel,The Hobbit - All Media Types,Fantasy,F/M,Yes,No,2422
Kim Dahyun/Minatozaki Sana,Twice,K-Pop,F/F,No,Yes,1005
Kim Dokja & Yoo Joonghyuk,Omniscient Reader's Viewpoint,Fantasy,Gen,Yes,No,1466
Kim Dokja/Yoo Joonghyuk,Omniscient Reader's Viewpoint,Fantasy,M/M,No,No,6346
Kim Dongyoung | Doyoung/Lee Taeyong,NCT (Band),K-Pop,M/M,No,Yes,2245
Kim Gyuvin/Shen Quanrui | Ricky,ZEROBASEONE,K-Pop,M/M,No,Yes,1265
Kim Heechul/Park Jungsoo | Leeteuk,Super Junior,K-Pop,M/M,No,Yes,1235
Kim Hongjoong/Park Seonghwa,ATEEZ (Band),K-Pop,M/M,No,No,7124
Kim Jongdae | Chen/Kim Minseok | Xiumin,EXO (Band),K-Pop,M/M,No,Yes,2029
Kim Jongin | Kai/Oh Sehun,EXO (Band),K-Pop,M/M,No,Yes,3013
Kim Jongin | Kai/Park Chanyeol,EXO (Band),K-Pop,M/M,No,Yes,1272
Kim Jungwoo/Wong Yuk Hei | Lucas,NCT (Band),K-Pop,M/M,No,Yes,1150
Kim Junmyeon | Suho/Oh Sehun,EXO (Band),K-Pop,M/M,No,Yes,2125
Kim Junmyeon | Suho/Wu Yi Fan | Kris,EXO (Band),K-Pop,M/M,No,Yes,1175
Kim Junmyeon | Suho/Zhang Yi Xing | Lay,EXO (Band),K-Pop,M/M,No,Yes,1156
Kim Mingyu/Xu Ming Hao | The8,SEVENTEEN (Band),K-Pop,M/M,No,Yes,2233
Kim Minjeong | Winter/Yu Jimin | Karina,aespa,K-Pop,F/F,No,Yes,1378
Kim Minseok | Xiumin/Lu Han,EXO (Band),K-Pop,M/M,No,Yes,1418
Kim Namjoon | Rap Monster/Kim Seokjin | Jin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,5140
Kim Namjoon | Rap Monster/Min Yoongi | Suga,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,1204
Kim Namjoon | Rap Monster/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,1057
Kim Namjoon | RM/Everyone,Bangtan Boys | BTS,K-Pop,Other,No,Yes,1254
Kim Namjoon | RM/Kim Seokjin | Jin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,22478
Kim Namjoon | RM/Kim Taehyung | V,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,3670
Kim Namjoon | RM/Min Yoongi | Suga,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,7436
Kim Namjoon | RM/Original Character(s),Bangtan Boys | BTS,K-Pop,Original,No,Yes,1165
Kim Namjoon | RM/Original Female Character(s),Bangtan Boys | BTS,K-Pop,F/M,No,Yes,1482
Kim Namjoon | RM/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,6792
Kim Namjoon | RM/Reader,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,3682
Kim Namjoon | RM/You,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,3786
Kim Seokjin | Jin/Everyone,Bangtan Boys | BTS,K-Pop,Other,No,Yes,1839
Kim Seokjin | Jin/Kim Taehyung | V,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,6761
Kim Seokjin | Jin/Min Yoongi | Suga,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,9293
Kim Seokjin | Jin/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,3351
Kim Seokjin | Jin/Reader,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,2792
Kim Seokjin | Jin/You,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,2849
Kim Seungmin/Lee Felix,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,1023
Kim Seungmin/Lee Minho | Lee Know,Stray Kids (Band),K-Pop,M/M,No,Yes,3904
Kim Seungmin/Seo Changbin,Stray Kids (Band),K-Pop,M/M,No,Yes,1505
Kim Seungmin/Yang Jeongin | I.N,Stray Kids (Band),K-Pop,M/M,No,Yes,2058
Kim Sunoo/Lee Heeseung,ENHYPEN (Band),K-Pop,M/M,No,Yes,1200
Kim Sunoo/Nishimura Riki | Ni-ki,ENHYPEN (Band),K-Pop,M/M,No,Yes,1293
Kim Sunoo/Park Sunghoon,ENHYPEN (Band),K-Pop,M/M,No,Yes,2418
Kim Taehyung | V & Park Jimin,Bangtan Boys | BTS,K-Pop,Gen,No,Yes,1024
Kim Taehyung | V/Everyone,Bangtan Boys | BTS,K-Pop,Other,No,Yes,1224
Kim Taehyung | V/Min Yoongi | Suga,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,10189
Kim Taehyung | V/Original Character(s),Bangtan Boys | BTS,K-Pop,Original,No,Yes,2084
Kim Taehyung | V/Original Female Character(s),Bangtan Boys | BTS,K-Pop,F/M,No,Yes,1550
Kim Taehyung | V/Park Jimin,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,14485
Kim Taehyung | V/Reader,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,3918
Kim Taehyung | V/You,Bangtan Boys | BTS,K-Pop,XReader,No,XReader,4001
Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Mamamoo,K-Pop,F/F,No,Yes,1128
Kimberly Hart/Trini,Power Rangers,Superhero,F/F,No,No,1418
Kimi Räikkönen/Sebastian Vettel,Formula 1 RPF,Sports RPF,M/M,No,Yes,1312
King Wu of Zhou | Ji Fa/Yin Jiao,Creation of the Gods I,Historical,M/M,No,No,1129
Kirigiri Kyoko/Naegi Makoto,Danganronpa,Video Game,F/M,Semi-Canon,No,2137
Kirishima Eijirou & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1373
Kirishima Eijirou/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,3047
Kirishima Eijirou/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,2260
Kirishima Eijirou/Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1104
Kiryu Kazuma/Majima Goro,Yakuza,Video Game,F/F,No,No,1849
Kita Shinsuke/Miya Atsumu,Haikyuu!!,Sports,M/M,No,No,1201
Kitagawa Yusuke/Kurusu Akira,Persona 5,Video Game,F/M,Semi-Canon,No,1206
Kitagawa Yusuke/Persona 5 Protagonist,Persona 5,Video Game,M/M,No,No,1319
Klaus Hargreeves & Number Six | Ben Hargreeves,The Umbrella Academy,Science Fiction,Gen,Yes,No,1973
"Klaus Hargreeves/David ""Dave"" Katz",The Umbrella Academy,Science Fiction,M/M,Yes,No,2182
Kochou Shinobu/Tomioka Giyuu,Demon Slayer: Kimetsu NoYaiba,Fantasy,F/M,Yes,No,1387
Kong | Aether & Xiao | Alatus,Genshin Impact,Video Game,Gen,Yes,No,1021
Kong | Aether & Ying | Lumine,Genshin Impact,Video Game,Gen,Yes,No,1738
Kong | Aether/Tartaglia | Childe,Genshin Impact,Video Game,M/M,No,No,1234
Kong | Aether/Xiao | Alatus,Genshin Impact,Video Game,M/M,No,No,4238
König/Reader,Call of Duty,Video Game,XReader,No,XReader,1780
König/You,Call of Duty,Video Game,XReader,No,XReader,1792
Korra/Asami Sato,Avatar: The Last Airbender,Science Fiction,F/F,Yes,No,7122
Kozume Kenma & Kuroo Tetsurou,Haikyuu!!,Sports,Gen,Yes,No,2227
Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,Sports,M/M,No,No,11036
Kravitz/Taako,The Adventure Zone,Fantasy,M/M,Yes,No,2740
Krista Lenz | Historia Reiss/Ymir,Shingeki NoKyojin | Attack on Titan,Fantasy,F/F,Yes,No,4281
Kristin Rosales Watson/Phil Watson | Philza,YouTube RPF,Youtube RPF,F/M,Yes,Yes,3722
Kuchiki Rukia/Kurosaki Ichigo,Bleach,Fantasy,F/M,No,No,2171
Kudari | Emmet & Nobori | Ingo,Pokémon,Video Game,Gen,Yes,No,1119
Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid,Detective Conan | Case Closed,Crime,M/M,No,No,3211
Kugisaki Nobara/Zenin Maki,Jujutsu Kaisen,Fantasy,F/F,No,No,1663
Kujo Jotaro/Reader,JoJo's Bizarre Adventure,Fantasy,XReader,No,XReader,1447
Kujou Sara/Sangonomiya Kokomi,Genshin Impact,Video Game,F/F,No,No,1061
Kunpimook Bhuwakul | BamBam/Kim Yugyeom,Bangtan Boys | BTS,K-Pop,M/M,No,Yes,1102
Kurapika/Kuroro Lucifer | Chrollo Lucifer,Hunter X Hunter,Fantasy,M/M,No,No,1112
Kurapika/Leorio Paladiknight,Hunter X Hunter,Fantasy,M/M,No,No,2649
Kuroo Tetsurou/Reader,Haikyuu!!,Sports,XReader,No,XReader,1978
Kuroo Tetsurou/Sawamura Daichi,Haikyuu!!,Sports,M/M,No,No,2141
Kuroo Tetsurou/Tsukishima Kei,Haikyuu!!,Sports,M/M,No,No,6165
Kuroo Tetsurou/You,Haikyuu!!,Sports,XReader,No,XReader,2008
Kurt Hummel/Noah Puckerman,Glee,Slice of Life,M/M,No,No,1281
Kurt Hummel/Sebastian Smythe,Glee,Slice of Life,M/M,No,No,2401
Kururugi Suzaku/Lelouch Lamperouge | Lelouch vi Britannia,Code Geass,Video Game,M/M,No,No,1419
Kurusu Akira/Niijima Makoto,Persona 5,Video Game,F/M,Semi-Canon,No,1340
Kurusu Akira/Sakamoto Ryuji,Persona 5,Video Game,M/M,No,No,2073
Kusanagi Nene/Ootori Emu,Project SEKAI,Video Game,F/F,No,No,1135
Kuzuryu Fuyuhiko/Pekoyama Peko,Danganronpa,Video Game,F/M,Semi-Canon,No,1275
Kwon Soonyoung | Hoshi/Lee Jihoon | Woozi,SEVENTEEN (Band),K-Pop,M/M,No,Yes,4798
Kyle Broflovski/Eric Cartman,South Park,Slice of Life,M/M,No,No,2780
Kyle Broflovski/Kenny McCormick,South Park,Slice of Life,M/M,No,No,1343
Kyle Broflovski/Stan Marsh,South Park,Slice of Life,M/M,No,No,5737
Kylo Ren & Rey,Star Wars Sequel Trilogy,Science Fiction,Gen,Yes,No,1457
Kylo Ren/Original Character(s),Star Wars Sequel Trilogy,Science Fiction,Original,No,No,1097
Kylo Ren/Original Female Character(s),Star Wars Sequel Trilogy,Science Fiction,F/M,No,No,1069
Kylo Ren/Reader,Star Wars Sequel Trilogy,Science Fiction,XReader,No,XReader,2952
Kylo Ren/Rey,Star Wars Sequel Trilogy,Science Fiction,F/M,Yes,No,15653
Kylo Ren/You,Star Wars Sequel Trilogy,Science Fiction,XReader,No,XReader,3108
Kyoutani Kentarou/Yahaba Shigeru,Haikyuu!!,Sports,M/M,No,No,2027
L/Yagami Light,Death Note,Fantasy,M/M,No,No,4650
Lán Huàn | Lán Xīchén & Lán Zhàn | Lán Wàngjī,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,Gen,Yes,No,1821
Lán Huàn | Lán Xīchén/Mèng Yáo | Jīn Guāngyáo,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,M/M,No,No,4240
Lán Huàn | Lán Xīchén/Niè Míngjué,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,M/M,No,No,1870
Lán Yuàn | Lán Sīzhuī & Lán Zhàn | Lán Wàngjī,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,Gen,Yes,No,1131
Lán Yuàn | Lán Sīzhuī & Wèi Yīng | Wèi Wúxiàn,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,Gen,Yes,No,1144
Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,M/M,Yes,No,37617
Lance & Pidge | Katie Holt,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,1800
Lance & Shiro,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,1127
Lance Hunter/Bobbi Morse,Marvel Cinematic Universe,Superhero,F/M,Yes,No,1324
Lance/Lotor,Voltron: Legendary Defender,Fantasy,M/M,No,No,1017
Lance/Pidge | Katie Holt,Voltron: Legendary Defender,Fantasy,F/M,No,No,1589
